epoch,train_loss,val_loss,val_miou,lr,time_s,iou_cls0,iou_cls1,iou_cls2,iou_cls3,iou_cls4,iou_cls5,iou_cls6,iou_cls7,iou_cls8,iou_cls9
0,0.42633,0.37952,0.56595,2.927e-05,277.6,0.8211,0.67325,0.66572,0.4194,0.35356,0.59477,0.19043,0.36964,0.59315,0.97848
1,0.42099,0.37866,0.57157,2.714e-05,449.0,0.82187,0.67321,0.66657,0.42389,0.35187,0.59566,0.23921,0.37359,0.59125,0.97857
2,0.42378,0.374,0.57306,2.384e-05,721.7,0.8232,0.67458,0.66536,0.41354,0.3504,0.60061,0.25273,0.38039,0.59132,0.97851
3,0.41616,0.37126,0.57013,1.967e-05,610.7,0.82169,0.67468,0.66479,0.41575,0.35241,0.60239,0.23331,0.36572,0.59217,0.97843
4,0.40992,0.37179,0.57081,1.505e-05,402.9,0.82248,0.67367,0.66704,0.42428,0.35203,0.59831,0.22376,0.37745,0.59059,0.97843
5,0.41085,0.37161,0.57137,1.043e-05,412.4,0.82297,0.67358,0.66737,0.42469,0.35356,0.59968,0.22245,0.37792,0.59287,0.9786
6,0.41226,0.37113,0.57374,6.26e-06,438.0,0.82172,0.67404,0.66748,0.42396,0.35215,0.60026,0.2448,0.38342,0.59117,0.9784
7,0.41054,0.37444,0.56994,2.96e-06,368.2,0.82199,0.67462,0.66656,0.42918,0.3527,0.60039,0.20882,0.37339,0.59326,0.97849
8,0.41364,0.37155,0.57266,8.3e-07,289.3,0.82199,0.67508,0.66658,0.42568,0.35329,0.60201,0.22983,0.37751,0.59628,0.97836
9,0.41184,0.37093,0.5728,3e-05,389.2,0.8222,0.67509,0.66724,0.41702,0.35299,0.60055,0.24081,0.381,0.59276,0.97829
10,0.40923,0.36968,0.57327,2.982e-05,204.3,0.82279,0.67544,0.66648,0.41879,0.353,0.60069,0.2408,0.3828,0.59345,0.97842
11,0.41381,0.36699,0.57475,2.927e-05,259.0,0.82247,0.67342,0.66555,0.41731,0.35269,0.60226,0.25992,0.38247,0.59304,0.97842
12,0.4109,0.36988,0.57493,2.837e-05,302.8,0.82434,0.67674,0.66676,0.42369,0.3511,0.60138,0.24695,0.38567,0.59389,0.97874
13,0.40942,0.36762,0.57356,2.714e-05,444.3,0.82323,0.67652,0.66748,0.41929,0.3499,0.60088,0.25536,0.3786,0.58588,0.9785
14,0.40148,0.37071,0.5744,2.562e-05,299.2,0.82388,0.67663,0.66815,0.42523,0.35329,0.59958,0.24713,0.3801,0.59115,0.97888
15,0.4016,0.36603,0.58018,2.384e-05,229.8,0.82453,0.677,0.66823,0.42048,0.35382,0.60519,0.28722,0.39038,0.59615,0.97877
16,0.40099,0.36568,0.57365,2.184e-05,239.1,0.82372,0.67496,0.66656,0.42061,0.35327,0.59634,0.25438,0.37705,0.59112,0.97849
17,0.40592,0.36361,0.57903,1.967e-05,566.9,0.82142,0.67573,0.66636,0.42141,0.35346,0.60744,0.27792,0.38981,0.5985,0.97824
18,0.40203,0.36448,0.57672,1.739e-05,674.6,0.82098,0.67605,0.66662,0.42206,0.35251,0.60577,0.2701,0.38079,0.5941,0.97822
19,0.40106,0.36661,0.57632,1.505e-05,549.6,0.82508,0.67619,0.66672,0.42213,0.35308,0.5984,0.26565,0.38375,0.59331,0.97888
20,0.40421,0.36434,0.57548,1.271e-05,338.0,0.82531,0.67743,0.66702,0.4218,0.35375,0.59972,0.25475,0.3809,0.59534,0.97875
21,0.40381,0.36646,0.57583,1.043e-05,775.9,0.82317,0.67557,0.66835,0.42935,0.35274,0.60185,0.25406,0.38217,0.59254,0.97852
22,0.40119,0.36234,0.57704,8.26e-06,328.6,0.82304,0.67504,0.66652,0.42082,0.35299,0.60293,0.2715,0.38571,0.59339,0.97848
23,0.40874,0.36755,0.57317,6.26e-06,330.3,0.82341,0.67665,0.66903,0.43059,0.35219,0.60046,0.23138,0.38024,0.58929,0.97845
24,0.4006,0.36498,0.57684,4.48e-06,546.5,0.82135,0.67606,0.66948,0.43152,0.35383,0.60077,0.25907,0.38603,0.59202,0.97832
25,0.40019,0.36401,0.58205,2.96e-06,216.1,0.82353,0.67658,0.66975,0.42928,0.35426,0.60562,0.2934,0.39367,0.5958,0.97858
26,0.39839,0.36405,0.57608,1.73e-06,213.2,0.82315,0.67655,0.66761,0.42346,0.35265,0.60166,0.25917,0.38437,0.59363,0.97857
27,0.39857,0.36303,0.57736,8.3e-07,243.1,0.82161,0.67567,0.66811,0.42538,0.35273,0.60276,0.26762,0.38797,0.59351,0.97829
28,0.40641,0.36628,0.57732,2.8e-07,245.4,0.82234,0.67627,0.6684,0.43394,0.35396,0.60432,0.25725,0.38309,0.59513,0.97851
29,0.39724,0.36406,0.57601,3e-05,196.6,0.82268,0.67652,0.66941,0.43153,0.35477,0.60368,0.24529,0.38446,0.59338,0.9784
30,0.39748,0.36431,0.57814,2.995e-05,325.8,0.82318,0.67666,0.66748,0.42994,0.35359,0.60467,0.26216,0.38755,0.59756,0.97867
31,0.39804,0.3622,0.57759,2.982e-05,392.6,0.82493,0.67582,0.6668,0.42356,0.35223,0.60766,0.26419,0.38629,0.59563,0.97885
32,0.39731,0.3631,0.57966,2.959e-05,367.7,0.82202,0.67777,0.67042,0.43106,0.35383,0.6031,0.27322,0.39294,0.59394,0.97833
33,0.39776,0.36288,0.57762,2.927e-05,421.1,0.82278,0.67696,0.66875,0.42698,0.35342,0.60142,0.26087,0.3929,0.59369,0.97846
34,0.39517,0.3623,0.57971,2.886e-05,640.1,0.82155,0.67448,0.6692,0.43213,0.35572,0.60326,0.27195,0.39315,0.59723,0.97844
35,0.39659,0.3625,0.57897,2.837e-05,750.7,0.82402,0.67625,0.66743,0.42602,0.35447,0.60171,0.27346,0.39097,0.59676,0.97863
36,0.3975,0.36186,0.57918,2.78e-05,437.1,0.82436,0.67536,0.66719,0.42449,0.35436,0.60693,0.27709,0.38683,0.59642,0.97881
37,0.3999,0.36193,0.5779,2.714e-05,376.9,0.82412,0.6776,0.66848,0.42828,0.35574,0.60159,0.25178,0.39295,0.59965,0.97878
38,0.39722,0.3638,0.58166,2.642e-05,454.3,0.8227,0.67496,0.66928,0.43456,0.35613,0.60684,0.27994,0.3934,0.60028,0.97846
39,0.39805,0.3621,0.57965,2.562e-05,454.0,0.82468,0.67601,0.6685,0.43078,0.3552,0.60402,0.27737,0.38382,0.59711,0.97899
