epoch,train_loss,val_loss,train_miou,val_miou,lr,time_s,iou_cls0,iou_cls1,iou_cls2,iou_cls3,iou_cls4,iou_cls5,iou_cls6,iou_cls7,iou_cls8,iou_cls9
0,1.38133,1.19169,0.2679,0.33482,0.001,447.4,0.55621,0.3641,0.46436,0.18102,0.12981,0.24144,0.03342,0.06947,0.35041,0.95795
1,1.10659,0.96279,0.32909,0.35992,0.001,261.1,0.59663,0.36966,0.54132,0.16808,0.23492,0.23149,0.05485,0.09898,0.33995,0.96336
2,1.0246,0.8889,0.34875,0.37452,0.001,580.0,0.6504,0.4258,0.48862,0.11732,0.23035,0.34504,0.03996,0.12096,0.35869,0.96804
3,0.93372,0.83058,0.36839,0.36547,0.001,656.1,0.62168,0.43811,0.48552,0.1449,0.23521,0.39235,0.032,0.06974,0.2743,0.96085
4,0.89782,0.75389,0.37878,0.41266,0.001,621.7,0.70611,0.53352,0.52574,0.17358,0.24797,0.3764,0.03771,0.14051,0.42024,0.96486
5,0.85548,0.72789,0.39088,0.42774,0.001,303.3,0.70112,0.51193,0.4981,0.19247,0.26349,0.44988,0.08839,0.12744,0.47929,0.96526
6,0.82337,0.68943,0.3992,0.43441,0.001,404.7,0.74047,0.57493,0.57495,0.18432,0.25772,0.37294,0.11258,0.1563,0.40241,0.96749
7,0.79169,0.70203,0.40747,0.43528,0.001,438.8,0.7143,0.52555,0.53926,0.1745,0.26774,0.43921,0.08488,0.18603,0.45557,0.96576
8,0.76247,0.70419,0.41436,0.4443,0.001,445.6,0.71604,0.57376,0.58531,0.24405,0.2664,0.41833,0.06063,0.18067,0.43048,0.96731
9,0.75019,0.73396,0.41967,0.43298,0.001,203.2,0.68228,0.53239,0.58431,0.22925,0.26418,0.4175,0.07571,0.17383,0.4054,0.96492
10,0.73208,0.68518,0.42317,0.41705,0.001,191.2,0.71672,0.50929,0.48345,0.17453,0.27025,0.42923,0.06221,0.13514,0.42068,0.96899
11,0.71678,0.65641,0.42717,0.44705,0.001,194.0,0.70701,0.52877,0.57723,0.28608,0.2736,0.44785,0.07656,0.17673,0.43088,0.9658
12,0.69335,0.63647,0.43354,0.44951,0.001,286.6,0.73132,0.56745,0.58052,0.24117,0.27633,0.43427,0.08564,0.16952,0.44159,0.96727
13,0.68286,0.62151,0.43665,0.44341,0.001,201.6,0.7332,0.5819,0.56978,0.21172,0.2638,0.39751,0.10345,0.19386,0.41015,0.96873
14,0.6746,0.61855,0.43833,0.45377,0.001,189.8,0.72661,0.54657,0.58816,0.23978,0.27499,0.43885,0.12016,0.20447,0.43125,0.96688
15,0.65405,0.58965,0.44514,0.45133,0.001,192.0,0.73657,0.5595,0.56771,0.23022,0.26535,0.46583,0.08811,0.20782,0.4238,0.96836
16,0.64545,0.57521,0.44627,0.46724,0.001,193.6,0.73385,0.59339,0.59832,0.25725,0.28337,0.46323,0.11919,0.21038,0.44692,0.96651
17,0.63861,0.60668,0.44848,0.48027,0.001,195.9,0.75435,0.58561,0.59738,0.26182,0.28415,0.46418,0.21034,0.1961,0.47755,0.97126
18,0.63239,0.57119,0.45143,0.47679,0.001,197.9,0.74131,0.59465,0.59688,0.25555,0.28562,0.48991,0.18054,0.21018,0.44576,0.96748
19,0.62036,0.59531,0.45334,0.47155,0.001,259.2,0.73395,0.57916,0.61297,0.25764,0.28838,0.46564,0.11211,0.22877,0.46851,0.96839
20,0.61104,0.5851,0.45633,0.45651,0.001,586.4,0.74718,0.56723,0.58418,0.25666,0.2798,0.45692,0.11463,0.16931,0.42213,0.96707
21,0.6049,0.55995,0.45706,0.4663,0.001,361.8,0.75001,0.59919,0.5894,0.27735,0.27924,0.47566,0.07125,0.19977,0.45391,0.96719
22,0.59848,0.56188,0.45964,0.45825,0.001,307.0,0.75668,0.59515,0.56887,0.25345,0.28606,0.4218,0.0998,0.16992,0.46099,0.96979
23,0.59126,0.5532,0.46225,0.48657,0.001,191.7,0.75804,0.58632,0.60241,0.27507,0.28999,0.48046,0.18065,0.23814,0.48513,0.9695
24,0.58964,0.55077,0.46293,0.46642,0.001,189.9,0.73873,0.59595,0.59503,0.26786,0.2864,0.45721,0.11577,0.19469,0.44723,0.96538
25,0.58,0.57904,0.46465,0.47077,0.001,201.3,0.73396,0.58767,0.59696,0.27238,0.29486,0.46511,0.11452,0.20877,0.46744,0.96603
26,0.58467,0.56756,0.46533,0.46843,0.001,180.5,0.74911,0.5689,0.58886,0.24617,0.2935,0.46357,0.13743,0.21348,0.45544,0.96787
27,0.57131,0.52685,0.46814,0.48151,0.001,217.0,0.75951,0.60147,0.60523,0.28271,0.28025,0.48325,0.15462,0.23932,0.43992,0.96882
28,0.56588,0.54675,0.46956,0.49016,0.001,218.5,0.75382,0.60673,0.60823,0.29876,0.29352,0.48994,0.14146,0.24378,0.49577,0.96959
29,0.55344,0.53546,0.47476,0.48042,0.001,210.1,0.74019,0.57984,0.60713,0.29799,0.29436,0.45758,0.10853,0.27153,0.48087,0.96613
30,0.56382,0.52433,0.47008,0.47748,0.001,170.2,0.75878,0.59255,0.60285,0.32446,0.3015,0.47444,0.08273,0.19326,0.47344,0.9708
31,0.5505,0.52839,0.47523,0.47396,0.001,167.3,0.7494,0.60756,0.57217,0.24039,0.29721,0.4934,0.13115,0.19692,0.48429,0.96708
32,0.55192,0.54223,0.47489,0.49297,0.001,170.2,0.75476,0.6043,0.61007,0.29442,0.28548,0.48639,0.16382,0.27263,0.48749,0.97036
